date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:48:19	49996/49996	---MCZ	200	added ('OK')	text/html	etag:1e89a8d7a34e187fc4e9fa040952d81c	https://judupuis.godaddysites.com/	C:/My%20Web%20Sites/dl2/judupuis.godaddysites.com/index.html	(from )
17:48:19	34/34	---MCZ	200	added ('OK')	text/plain	etag:6978a616c585d03cb5b542a891995efb	https://judupuis.godaddysites.com/robots.txt		(from )
17:48:20	407/407	---MCZ	200	added ('OK')	application/manifest+json	etag:bd4b29172db21030c593cb97394592e6	https://judupuis.godaddysites.com/manifest.webmanifest	C:/My%20Web%20Sites/dl2/judupuis.godaddysites.com/manifest.webmanifest	(from https://judupuis.godaddysites.com/)
17:48:24	4817/4817	---M-Z	200	added ('OK')	application/javascript	etag:%228fdeaef92d051967acebe0b847aad0d0%22	http://img1.wsimg.com/blobby/go/gpub/20f4936a46afa139/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/gpub/20f4936a46afa139/script.js	(from https://judupuis.godaddysites.com/)
17:48:24	7572/7572	---M-Z	200	added ('OK')	application/javascript	etag:%226f8b174d40c55d3fbb5f44ead467b23c%22	http://img1.wsimg.com/blobby/go/gpub/2188bb0881d579fc/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/gpub/2188bb0881d579fc/script.js	(from https://judupuis.godaddysites.com/)
17:48:24	165616/165616	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2004%20Nov%202020%2015:43:09%20GMT	https://img1.wsimg.com/poly/v2/polyfill.min.js?unknown=polyfill&flags=gated&features=default%2Cfetch%2CArray.prototype.%40%40iterator%2CArray.prototype.find%2CArray.prototype.findIndex%2CFunction.name%2CNumber.isFinite%2CPromise%2CString.prototype.repeat%2CMath.sign%2CMath.trunc%2CArray.prototype.includes%2CObject.entries%2CObject.values%2CObject.is%2CIntersectionObserver%2CIntl.~locale.en-GB	C:/My%20Web%20Sites/dl2/img1.wsimg.com/poly/v2/polyfill.min23c0.js	(from https://judupuis.godaddysites.com/)
17:48:25	32178/32178	---M-Z	200	added ('OK')	application/javascript	etag:%229ffa46417906e6a0104efacf7dc1a28f%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/e63145e2df639028/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/e63145e2df639028/script.js	(from https://judupuis.godaddysites.com/)
17:48:25	313416/313416	---M--	200	added ('OK')	image/jpeg	etag:3647083059	https://img1.wsimg.com/isteam/ip/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/cmwa2.jpg	C:/My%20Web%20Sites/dl2/img1.wsimg.com/isteam/ip/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/cmwa2.jpg	(from https://judupuis.godaddysites.com/)
17:48:25	5891/5891	---M-Z	200	added ('OK')	text/css	etag:%22571b8e1d81418dbad0aae621e6639c19%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/4524c1974583bbdd/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/4524c1974583bbdd/styles.css	(from https://judupuis.godaddysites.com/)
17:48:26	8329/8329	---M-Z	200	added ('OK')	text/css	etag:%22e231ec57894537fbe9ea058feb64d096%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/dde6606fd94c45b/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/dde6606fd94c45b/styles.css	(from https://judupuis.godaddysites.com/)
17:48:26	11933/11933	---MCZ	200	added ('OK')	application/javascript	etag:619e99967670b85dcc0c1650ed2d4450	https://judupuis.godaddysites.com/sw.js	C:/My%20Web%20Sites/dl2/judupuis.godaddysites.com/sw.js	(from https://judupuis.godaddysites.com/)
